<one employee	Where was killed	Sudanese region of Darfur>
<the US general	try	mostly>
<the US general	try	are treated after being taken into custody>
<Clinton	tell Fareen Zakaria	"It is a show trial, there's no doubt about it,">
<concretion	consist of	cement-like shell of sand, salt and sea life>
<How many young men	are missing	Two>
<61	involved	many former detainees are still in terror acts>
<hospital workers,	failed to render	help>
<"The president does not	believe	does't Obama>
<that that criticism comes based on the color of his skin,"	believe	does't Obama>
<January 25 this year	writing	Since when has the author unable to concentrate on writing>
<Egypt	many points have	nine>
<Author	is	John Gibler>
<the first lady	gave Michelle Obama	a tour>
<eight	the number of	babies born>
<many crew	were on the ship	22>
<Davenport	defeated	Zvonareva>
<the daughter	How long was held for	24 years>
<between 2003 and 2008,	was	long was in office>
<"Robin Hood: Men in Tights"	did star in	Which films>
<Movie"	did star in	Which films>
<"Fatso,"	did star in	Which films>
<"The Cannonball Run"	did star in	Which films>
<"The Twelve Chairs"	did star in	Which films>
<"Spaceballs"	did star in	Which films>
<"Blazing Saddles," "Silent	did star in	Which films>
<it	What type of bacteria	listeria>
<the fighting	How many killed in the past two days	more than 40 civilians>
<refunds	issued	will be>
<Common	said that Obama should inspire	a more positive message>
<the former vice president	was	Dick Cheney>
<it	How many London airports is able to operate at as normal	two>
<what	handles finances and care	Integrated health systems>
<the concerns about	What were	brucellosis disease,>
<you	sell stuff in your home	Craigslist and eBay,>
<a major Category 3 storm	become	does Omar>
<Operation Enduring Freedom,	caused	has 585 americans deaths since 2001>
<authorities	say	"some of our most guarded secrets">
<183	the number of people removed from	ranch>
<Michael Jordan	bought	a controlling stake>
<the economy	Will it take long for to recover	could>
<the economy	Will it take long for to recover	a year>
<humor	injecting	This person is as injecting what into religious and political speeches>
<Clinton,	serves as to Haiti	special envoy of the United Nations>
<Connie Culp	is from	Ohio>
<the pirates	much make	between $50 million and $150 million>
<three-year	was	long the study of Runescape>
<Captain Hasan Tahsin Arisan,	name	the pilot 's>
<economic	facing	of crisis facing Spain>
<Diringer,	are the panelists that will be included in	the discussions>
<-Professor Pan Jiahua,	are the panelists that will be included in	the discussions>
<-Elliot	are the panelists that will be included in	the discussions>
<Iran and Belarus	has the EU expanded on	sanctions>
<30,000	waited	many Czechs>
<the baby	How many weeks premature was	14>
<the baby	How many weeks premature was	early>
<nuclear	does	program does President Putin>
<Ross,	met	Stack>
<you	go to nearby places including the Everglades or where else	Florida Keys,>
<Travis	says he is happy for	his father>
<Warren Jeffs	released	was from LA Hospital on Wednesday>
<Beyoncé	were	other celebs there>
<Marc Anthony	were	other celebs there>
<Ron Howard	were	other celebs there>
<Jay-Z, Faith Hill, Shakira	were	other celebs there>
<Burundi	is	homosexuality illegal>
<Kate Simonson	considers Mike her father and he walked her down at her wedding	the aisle>
None
<who	is obama likely to search	for a new justice>
<The AeroClinic,	atlanta	care to atlanta airport travellers>
<disposal trucks	take	never to take bodies away>
<Monday morning,	evacuation	will flights to U.S. resume>
<Don Draper	is	is>
<Michaela	what do	wrote a poem about people who had been abducted,>
<this weekend	happen	the second   round of strikes going to happen>
<Carlos Tevez	refused to come onto	the pitch>
<Lee Edwards	is	the conservative>
<"American Idol" winner	is	Kris Allen>
<it	many bedrooms and bathrooms have	seven-bedroom, nine-bathroom>
<Simpson charged with	What is	robbery and assault charges,>
<government issued televised broadcasts ahead of the rainstorms	given	people given ample warning>
<C,	following	Which terminal was to close following a security breach>
<the Iranian claim	Where is doubted	States.>
<the Iranian claim	Where is doubted	in the United>
<fellow members of NATO's International Security Assistance Force	found	his body>
<States	ordered what amount of doses	54.1 million>
<Scotlands new coach	is	Andy Robinson,>
<More than 600 Energie Cottbus supporters	watch suffer	the team>
<the investigation over	What is	and other primates,>
<Sean Parker	joins	Twitter>
<the Ancient Greeks and the Romans	use as toilet paper	used clay>
<the Ancient Greeks and the Romans	use as toilet paper	stone;>
<the Ancient Greeks and the Romans	use as toilet paper	sponges>
<he	bet against all odds	Lady Forli>
<the crash	Where did happen	Morristown, New Jersey,>
<13 people	the total number of USC students who were at	the house>
<the Manchester United people	say	"Manchester>
<the Manchester United people	say	is disappointed with Owen Hargreaves' remarks after the game on Wednesday,">
<A woman's body	found	was in mid vales>
<she	work at	CNN>
<Harry in Afghanistan	was for	10 weeks>
<73,	arrested	age the fugitive when arrested>
<the highest ranking accused war criminal	is	Ratko Mladic,>
<"I don't want to	says	defense lawyer>
<Junot Diaz	award win	Pulitzer Prize>
<the Guardsmen	kind of problems suffer from	nasal tumors or respiratory system>
<Who	disappeared almost two years ago	Robert Levinson>
<many states	track these incidents	five>
<The Hump	the name of	the restaurant>
<Which actor	played show host in Slumdog Millionaire	Anil Kapoor>
<the investigation	What find about FBI	in Guantanamo Bay, Afghanistan or Iraq,>
<the investigation	What find about FBI	not participate in harsh interrogations of suspected terrorists detained>
<How many Isrealis	were killed	13>
<Obama	hold	town hall meeting>
<many Colombians	signed petitions	Five million>
<the New Jersey congressman	say	"willful blindness">
<Allen and Homeland Security Secretary Janet Napolitano	are to	triple manpower>
<Scott Roeder,	charged	was>
<this	Which flight did happen on	39>
<300	have	China 's goal to have how many pandas in captivity>
<November 1	the date of	the crash>
<100	injured	many were>
<Korean Air	conducted test flight over	islets>
<Pan Pacific Open	Where is held	Tokyo>
<the orphanage	Where is located	Haiti's>
<up to 30,000	killed	many people were and killed in this conflict>
<BP	What say about   Corexit	was the best and most appropriate choice at the time when the incident occurred,>
<Brown 's win	gives	another case study in how>
<Brown 's win	gives	run a successful campaign>
<Which official	says It is a very bad scene	Ibrahim Bulama>
<Mexico City law	comes as what	amid the beginning of wider acceptance for same-sex>
<Medics	describe conditions at Qualcomm Stadium	Navy>
<hold their weddings	met	couples who met at the event request>
<Dragon*Con,	met	couples who met at the event request>
<more than 90% of the airlines surveyed	is increasing their investment in	mobile capabilities>
<Josh Hutcherson and Liam Hemsworth	will see	instant Hollywood fame>
<they	think this will happen	could>
<they	think this will happen	at any time,>
<How many children	were killed	36>
<"solar view goggles"	see	any special equipment needed to see it>
<many children and adults	suffer from this disease	An estimated 20,000>
<Pirates	opened	gunfire>
<Mame Biram Diouf	got	a work permit clearance>
<Dwyane Wade	do	started a foundation>
<99 percent	the percentage of cervical cancers caused by	HPV>
<it	where is forecast to hit	Karachi, Pakistan,>
<Obama	Shakes hands with who	Jack McCain>
<refugees	faces	discrimination>
<decision on troop deployment	announce	will not Obama>
<many men	face kidnapping and burglary charges	Five>
<he	what is a member of	Royal Naval Air Service,>
<former President Clinton	said not as strong as it once was	consspiracy>
<representatives of the world's largest economies	meets for	two days in Pittsburgh>
<overturned	happened	to the boat>
<Erik Prince,	was the founder of	Blackwater>
<he	a part of	McNamara>
<he	a part of	a member of Kennedy's inner>
<officials	say	ian people," he sa>
<Ronaldinho	needs	new challenges>
<president	wants	a clean bill only funding veterens programmes>
<france and germany	agree to a new fiscal pact	agreed in Paris on a>
<the New York woman	say	"This is America happening,">
<Thaksin 's wife	What buy in 2003	undeveloped land>
<the senator	accuse the White House of trying to cover up	of>
<Lisa Jackson	is the   first African - American to head	Environmental Protection Agency>
<he	What is addicted to	painkillers>
<the bodies covered with	What were	towels>
<Malaysia	involved	country was>
<institutions,	suppresses	systematically many of those innate talents>
<the audition	Where was being held	New York hotel,>
<Robinson	say	immense natural talents>
<U.S. journalist Jill Carroll,	kidnapped	was>
<International Monetary Fund,	is	the IMF>
<Train	disrupted	services were>
<he	admit infidelity In what statement	The>
<Zelizer	What say about Obama and Lyndon Johnson	presidency resembles that of>
<Zelizer	What say about Obama and Lyndon Johnson	B.>
<Chesley B. "Sully" Sullenberger,	was pilot with	US Airways>
<smaller groups	does n't have	any militias or tribal structures>
<Gardner	registered for	sex offender>
<"The Thing"	Name	the 2011 horror film>
<your mates and people	can make playing tougher when you play	golf>
<know	can make playing tougher when you play	golf>
<De facto president	gets disapproval rating of what   percent	65>
<Steven Good was found dead of an apparent self-inflicted gunshot Monday,	said	have police>
<she	Michaela Garecht was how old when was kidnapped	9-year-old>
<Gilbert	drew guns on	each other>
<Arenas	drew guns on	each other>
<Crittenton	drew guns on	each other>
<Jackson's will,	made his executors	John Branca and John McClain>
<Syrian coast	approaching	was Katrina>
<the aircraft	When was downed	recently>
<marriages	mentioned	ruling was in the article>
<Recent actions	doing what to the region	impact on security in the>
<Hamas	took control of a year ago	Gaza>
<Portsmouth	score	2-0>
<Obama	said " The problem with is it owed so much "	AIG>
<Strong winds	contributed	might have to the plane crash>
<the Rev. Alverto Cutie	say	"I take full responsibility for>
<the Rev. Alverto Cutie	say	I>
<the Rev. Alverto Cutie	say	and I know it's wrong,">
<300	was	many points dow jones down>
<1983.	fighting	year did the Tamil minority fighting for an independent homeland>
<many incidents	occured on Friday	two separate>
<straddled Interstate 95	issued	Winter storm issued from New England south to Georgia>
<Maine	issued	Winter storm issued from New England south to Georgia>
<in parts of	issued	Winter storm issued from New England south to Georgia>
<President Obama	lost	bipartisan support>
<risen from $600,000 to $4.7 million per vessel,	happend	has to the average ransom>
<McCain	had amassed 1,047 delegates before	Tuesday>
<off the coast of Africa,	was	was .>
<Ilene Misheloff,	the names of	the girls who were taken>
<Michaela Garecht	the names of	the girls who were taken>
<local law enforcement	have U.S. marshals teamed with for	annual sweep>
<2-1	the score between	Denmark and Portugal>
<Latino or black,	dropped out	the most>
<the charge	possible penalty carry	death>
<French filmmaker and photographer Christian Poveda	happened	in El Salvador>
<last week's killing of	happened	in El Salvador>
<Atefeh Yazdi	is waiting for	news>
<number of people	need food and water	More than one million>
<How many jobs	would be created	20,000>
<Zed	found	was at a construction site>
<veteran homelessness,"	end	does Shinseki to end>
<441 people have died	injured	there anyone injured>
<iPhone	used	will be on any phone network>
<what	She later sued because was not found	medication>
<no known	caused	Was any damage>
<France	leave NATO	1966>
<cuspers (born roughly 1954-1965),	are	" cuspers ">
<"The mother	has cooperated with	police>
<Veteran actor Karl Malden,	won Oscar for " "	A streetcar named desire>
<U.S. Coast Guard	participate	association with what group did Prince William participate .>
<Tuesday	arrested	was he>
<MTV	says Janet Jackson will give tribute to who	Michael>
<the crowd size	what was	80,000>
<witnesses	say police units executed unarmed men and boys	Another witness described>
<witnesses	say police units executed unarmed men and boys	going from house to house, summarily executing>
<the father	distance travel	1100 km>
<President Mahmoud Ahmadinejad's	accepted	the resignation>
<Katherine Jackson	hired	probate lawyer Adam Streisand>
<outside the Presidential Palace in the capital city of Antananarivo	happen	did this>
<Who	was a hard - charging ex - prosecutor	Eliot Spitzer>
<Nur Hassan Hussein,	did	the Somali president fire>
<the decision	When will be announced	Friday,>
<228	killed	many people were in the crash>
<experts advicing to do	What are	If you run into someone while you're listening>
<experts advicing to do	What are	your iPod, remove both earbuds>
<experts advicing to do	What are	talk>
<under 10	riding	children at what age are from riding up front>
<the athletes	requirements meet	must be at least 16>
<world boxing champion	former profession	his>
<Milos Raonic	did beat	rafael nadal>
<Mir Hossein Mousavi	What type of candidate	Reformist>
<Fairfax City police	saw	Babbit driving>
<Bill Haas	completed	victory>
<the new title	what is	"Don't Trust The B----- in Apartment 23,">
<the man	What plea on the charges	not guilty>
<what internet show	is mentioned	"Wine Library TV,">
<Two pages	alleged	got for alleged oral sex in public>
<9.5 per 100,000	mortality rate	Whites '>
<many tickets	did California Highway Patrol issue in first year	150,000>
<he	What age was Haim when died	38,>
<many kids	does Nadya have in total	14>
<any other people	Were arrested	Thirty members of Rendon's gang>
<any other people	Were arrested	with him,>
<the US	trying	elements of the Taliban>
<the US	trying	are engaged in the battle for financial gain,>
<the final score	What was	2-0>
<the 1.9 trillion	allocated for	unemployment benefits and the promotion of job sharing.>
<Democrats	seek approval of	nominees>
<State Department	moving their quarters to a new building	The U.S.>
<what	do supportes rail against	multiculturalism>
<Iranian President Mahmoud Ahmadinejad	has asked to visit	ground zero>
<war	What months was marked as deadliest since began	June>
<Wild Oats X1,	is bidding for	fifth straight line honors>
<his wife	got the idea to donate them while watching coverage of	Haiti relief efforts>
<deaths of protesters,	the reason he is under	investigation>
<protesters	forced their way into Wednesday night	Parliament>
<Bill,	name	Ripkin 's brother 's>
<Amy Winehouse	do	spent the night in a London hospital>
<a preventable and curable disease	What is	Malaria>
<How many people	were banned	Two Americans>
<persistent denials,	Damascus response to	U.S. protests>
<opposition candidate	is	Tsvangirai>
<we	compare the users of Facebook with	300 million>
<Quest	are	Anne Geddes>
<How many people	were killed	At least 240>
<northwestern Pakistan	did	did the suicide bomber>
<conservative historian	is	Lee Edwards>
<Thomas Vermaelen	team play for	Belgium>
<civil rights	the reason for	the march>
<Aaron Baddeley	did defeat	tiger woods>
<the flight	where was going	Hawaii>
<she	work for	28 years,>
<Search dog handlers	found	the remains>
<Thousands of Iranians	protested the results of	the presidential election>
<Pakistani officials	announce arrest of	two top Taliban figures>
None
<Kenneth Barnes,	put the bomb on	the man 's neck>
<Rauf	killed	was>
<al-Somali	killed	was>
<goalkeeper	Dida 's role in	the team>
<stimulus bill	used	is being as a cover>
<paia inn hotel	where is	Hawaii>
<Courageous	the name of	the boat>
<5-3	was	the score>
<millions of condoms	send	are users to send to the Pope>
<state	gave prominence	Iowa>
<Which cricketer	will be a U.N. Goodwill Ambassador	Sanath Jayasuriya's>
<the software	method use	past commercial>
<the software	method use	breaking down more than 60 elements of a>
<the suspect	undergo	a psychiatric evaluation,>
<"All blacks	should leave	the store>
<CNN/Opinion Research Corporation	ran	this poll>
<food-aid disruption	caused	dead>
<the spokesperson	What is not surprised at	that>
<Pizango	granted asylum	Nicaragua>
<not to wallow in resentment:	urge	did Obama>
<its Uga VII	What	University of Georgia mascot>
<its Uga VII	What	the>
<Racing and breeding thoroughbreds	the source of 100,000 jobs in	Kentucky>
<Henderson	Where is touring to	United States>
<Eluana	transferred to a private clinic	Tuesday>
<appeared	roy	did Lyn   in tennessee>
<federal court	roy	did Lyn   in tennessee>
<Indian	attacked	Which students have been in Australia>
<Straight No Chaser	had	huge success>
<Straight No Chaser	had	huge success>
<the crash	When did happen	Sunday,>
<Which state	executes the most people	Texas>
<This year 's semi finals	include teams from where	Brazil>
<Westboro Baptist	the name of	the church>
<killed 17 people in Istanbul last week,	say	minister>
<Turkish authorities have arrested 13 people in connection with blasts that	say	minister>
<249	the number of	pink used vehicles listed>
<Steven Chu	named Secretary of	energy>
<"social distancing,"	spreading	is being to prevent outbreak from spreading>
<hundreds of police reports	released	is in the documents released>
<WTA	warned Dubai tournament could lose place on	calendar>
<VSS Enterprise	remained	attached to carrier aircraft for duration of near 3-hour flight>
<Iraq	was last gasp winner to beat	china>
<before going to war,	proposed	is in new law>
<that the president consult with Congress	proposed	is in new law>
<fire	caused	damage to several businesses>
<who	wants to feel safe	His wife, Mildred,>
<the crowd in Chicago	gather for	Barack Obama's presidential victory>
<relief efforts	learned	can be about from Peru>
<Saudi authorities	shut lbc offices in	jeddah>
<they	what states lose In	Delaware>
<FIFA	stepped in to mediate	the row>
<he	released from prison	Twenty years>
<young widows	can share stories on	the website>
<CNN 's Richard Quest	give the gadget	a thumbs up>
<12 years,	was	when was with the FARC soldier>
<How many Marines	work there	4,000>
<Lt. Gen. Russel Honore,	is saying the ongoing wars are putting stress on	troops and their families>
<Preston	disqualified	was>
<TSA	gathering	is information>
<concerns for Salvador's proper upbringing,"	does	berenson share>
<George Harrison,	appeared	's widows also>
<John Lennon and George Harrison,	appeared	's widows also>
<Adam Lambert's	shocked viewers with	his sexually suggestive dance sequence>
<crawled out of the truck's windows	escape	Did two firefighters>
<Strange	were	kind of lights in the sky>
<Springboks	thrash Namibia 87 - 0 at	the Rugby World Cup>
<Amanda Knox	seemed	serene>
<the writer	What say about vampires	Dudes just don't dig bloodsuckers, since>
<Official	says terrorists are armed with what	bullets>
<Official	says terrorists are armed with what	hand grenades, bombs,">
<Jailbreak Toys	the name of toymaker   of	6-inch doll>
<Which band	played a comeback gig	The Specials'>
<14	injured	many were>
<Lugo,	said he 'll " act always in "	pursuit of the truth>
<What country 's military	is being discussed	Japan>
<Thursday,	meeting	the hikers meeting with the US Secretary of State>
<Many readers	frustrated	was>
<education	the benefit for	veterans>
<German President Horst Koehler	resigned	did>
<How many best picture possibilities	will there be next year	10>
<Peanut Corp. of America,	affected	company was by the outbreak>
<2,000	sent	many soldiers and police officers are being to quake zone>
<1,500	sent	many soldiers and police officers are being to quake zone>
<five years	married	long Billy Joel married to Katie Lee Joel>
<the airline	What was fined	$7.5 million>
<the McQueen label	survive despite Alexander McQueen 's death	is to>
<he	charge arrested	raid,>
<he	charge arrested	narcotics>
<Warren Jeffs	released	was>
<the outline	many pages have	52-page>
<the video	show	van alive>
<the video	show	Michael Jackson hopping out of a coroner's>
<How much money	was borrowed	$225 million>
<it	Where will be uploaded daily	YouTube>
<Chevrolet	was	brand the car>
<Ford	was	brand the car>
<Rome	is	the final>
<the 3-vehicle crash	Where was	Interstate-40 east of Forrest City, Arkansas,>
<Mel brooks job	What is	writer, composer, actor, director and producer>
<giant panda	is	Bai Yun>
<Police	believes Colton Harris - Moore may be stealing ,	crash - landing small planes>
<Deputies	found	the remains>
<Secretary of State	is	Condoleezza Rice>
<the boys	What was age	Five-year-old>
<Pakistani Taliban	claimed	the responsibility>
<What language	the new channel featuring	Kurdish>
<highway	best friend	your>
<Dennis Connor	is from	America's>
<agro-based	the basis of	Zimbabwe 's economy>
<along party lines,	did	In what way did the House subcommittee>
<the death toll in Mexico day care	What is	45,>
<How many people	were indicted	six>
<island	the site of the attack	Loh Sriaya,>
<AT&T	published	the app>
<Pakistani forces	accused	has been of a cease - fire breach>
<Philip Markoff charged with	What was	killing a woman and robbing another>
<the war crimes suspect 's home	Where is	Cleveland,>
<Benazir Bhutto	assassinated	the Pakistani Prime Minister who was assassinated>
<Senator Kennedy	is from	Massachusetts>
<one	were	number of bombings there   in April>
<Anh "Joseph" Cao	is the first Vietnamese American elected to	the House>
<type of people	join barter clubs	who are short on cash>
<A backlog in processing education benefits	authorize	the VA to authorize millions in emergency funds>
<processing education benefits	was	There a backlog in what>
<28,	is	Huckaby 's age>
<song	offers advise	"Dear Obama,">
<Mir Hossein Mousavi	created a Facebook page for	the campaign>
<Myanmar 's Supreme Court	reject	an appeal>
<"Real Steel,"	the name of	the movie>
<the show	run at the High museum	through January>
<the publicist	say	While the cause of the actor's death was not immediately known, he apparently suffered a heart attack,>
<Gerald Kaufman,	called on to talk to Hamas	Israel>
<8 percent of this group	developed	Alzheimer 's>
<who	was gunned down execution - style	Lasantha Wickrematunga,>
<Arthur E. Morgan III,	are searching for	law - enforcement agencies>
<the army	hope by	the end of January 2010>
<President Obama	describe his father as an alcoholic	In>
<President Obama	describe his father as an alcoholic	book, "Dreams of My>
<President Obama	describe his father as an alcoholic	A Story of Race and Inheritance,">
<price-fixing	skyrocketed	kind of investigations have>
<Wednesday	die	did Reid>
<the president	say	gestures>
<the president	say	he appreciated U.S.>
<the president	say	Barack Obama's friendly>
<Nalgae,	the name of the typhoon which killed	at least 52>
<three government	kidnapped	Number of officials>
<the Blarney Stone	Where is	Ireland>
<Felipe Massa	be in October	Brazil>
<Jorge Martinez Boero	killed	was in Dakar>
<he	many Maguire books of Wicked sold	2.5 million copies,>
<Burmese pythons	How long do grow to be	20 feet>
<Who	was the deceaded mariner	Roger Stone,>
<the archbishops	recommend	churches stop>
<the archbishops	recommend	sharing the chalice at communion over swine flu fears,>
<Michael Jackson	approved a line of in early June	official merchandise>
<Obama	marked	a new holiday>
<"John McCain	followed Bush into , according to Obama	misguided war>
None
None
<James Marsden	Where was born	Oklahoma-bred>
<many people	were on the plane	three>
<Love	the name of the canal built on top of	chemical waste>
<Wyoming	bill	A of which US state protested proposal over amendments to bill>
<Staffers	fired	shots>
<400 years ago,	discovered	was it>
<the passengers	For what reason have	engine problem>
<writer	discussed during a conference call	Jack Butler,>
<"International navies	is capable of	an effective response>
<near Amsterdam's main airport	did	the plane crash>
<Prejean	attacked for	having the courage to speak up>
<Prejean	attacked for	her truth and her values,">
<The win	puts Milan within how many points of Serie A leaders and rival	six>
<Michael Vick	the former quarterback for which team	Falcons>
<Michael Vick	the former quarterback for which team	Atlanta>
<that	What is the jackpot is set to expire	$10.75 million>
<The UConn women	one of sports history 's most what	dominant teams,>
<Crowe	admit to	murdering Joseph V. Pala,>
<the suspect	Is in the DNA database	does not appear in any>
<the suspect	Is in the DNA database	database,">
<who	was the antropologist and explorer	Ann Dunham,>
<Franken	is the 60th vote in	the Senate>
<Laurean	Where would be tried	Onslow County, North Carolina,>
<$49.99	was	much the original cost of the hotel room>
<the up - and - coming stars	are	(Amy Adams)>
<the father 's death	What was considered	suicide,>
<Which team	are the world champions	Italy>
<is unknown,	the cause of	the explosion>
<"Connected"	the title of	the documentary>
<Twitter feeds	recommend	does CNN.com>
<Josh and Shane	were held for being what	as spies>
<kaine	do	solicit donations.>
<the app store	be for	federal employees doing official government business>
<Tomas Young	was in	Iraq>
<the new Bolton manager	is	Owen Coyle's>
<"Artificial diets in the form of protein biscuits	depleted	in the event of depleted bamboo stocks>
<President Obama	warn against	meddling in Iranian elections,">
<Jon	For what reason say	I don't think it's healthy>
<Hundreds	are	many militants>
<Mice	threatening which birds	albatross>
<many people	did the Red Cross say were killed	More than 400>
<Stephenie Meyer's	wrote the book this movie is based on	that>
<auxiliary lock	blocked	to relieve blocked river traffic>
<How many people	are going hungry	642 million>
<Pressly	found	Was Preessly alive>
<unconscious	found	Was Preessly alive>
<the vice prime minister	When did speak	Tuesday>
<al-Shabaab	seized	of the militia that seized the cities>
<thieves	use during the raid	helicopter>
<Iceland	apply for	formally applied>
<Iceland	apply for	European Union membership>
<The Navy and Marine corps	have how many facilities in the San Diego area	20>
<"I want to be sure that everyone understands that the communication was sent without my knowledge,"	say	did Black>
<"Ms. Goforth	say	did Black>
<get a verbal reprimand as well as a very strongly worded reprimand, written, that was put in her file that if this should ever occur again, that she would be terminated,"	say	did Black>
<11	the number of people on	the helicopter>
<What system	debuted this month	Electronic>
<What system	debuted this month	for Travel Authorization>
<many	came for the snowball fight	3,000>
<Lohan	In which film supposed	"Poor Things,">
<470 square meters	the size of	the solar panels>
<her remarks	help her husband	"She can>
<British authorities and environmental groups	welcome the launch of	biodegradable gum>
<all the critics	said	...once again takes cinema to a new level of remarkable spectacle>
<Four	the amount of	soldiers>
<30-year-old	the age and weight of the competitor from	Chicago>
<526	the age and weight of the competitor from	Chicago>
<Whose planes	were shot down	Tamil Tiger>
<his family	kill	did Parente>
<Macintosh	What is the age is turning	25th birthday>
<the police	find	Dr. Jorge Mario Gonzales>
<the embassy	When will shut down	Monday,>
<philanthropy	blending	is Mycoskie with business>
<the security forces	clash with	Youths>
<the security forces	clash with	pro-reform activists>
<Elizabeth Taylor	attended	Andrea Bocelli 's concert>
<North Korea	deny	it was responsible for the March 26 sinking>
<25	turning	many years old is Tetris>
<Taiwanese fishing vessel	held coast	nearly 10 months>
<Patrice Evra	will continue	his complaint>
<racially-tinged remark	started	the incedent>
<Usain Bolt	the sprinter 's name   who shattered	world records>
<many homes	view Premier League matches	600m>
<one	sold	number of CNG powered models are today>
<his career	how long has been	three-decades-long acting résumé>
<the U.N.	What say about celebrities	more young people to use illegal substances,>
<the U.N.	What say about celebrities	Cocaine-abusing>
<the U.N.	What say about celebrities	are glamorizing the use of narcotics and encouraging>
<"A third cited they didn't have insurance or were unable to afford	impedes	medical care>
<Or they thought it was not important to report the	impedes	medical care>
<the Dalai Lama	seek	cultural autonomy,>
<website	explains economic recovery plan	Recovery.gov,>
<how many teams	was dispatched	five>
<"more trucks will have to take to the road"	increased	did an industry group say would if the load limit is n't increased>
<what did harry potter	make	$17.7 million,>
<Wednesday night	will	the finale of American Idol air>
<much weight	did the man who built a man cave lose	65 pounds>
<Lansana Conte	many years ruled	came to power in 1984,>
<the U.S. Federal Aviation Administration	issued	emergency directive ordering repair>
<Hudson	show appear on	"American Idol">
<"The Hurt Locker,"	is up for	best picture>
<the explosion	On what day occur	Pakistan>
<three and a half	was	many months Saberi in jail>
<11	sentenced	many rioters were to death>
<Polona Hercog	beat	did Williams>
<he	Against which team play	India>
<Pervez Musharraf,	spoke in	the interview>
<Sunday	put	the new travel alert put in place by the new State Department>
<Serbian President Milan Milutinovic	faces charges of	crimes against humanity>
<Former	faces charges of	crimes against humanity>
<cockpit filled with smoke,	did	For what reason Schwarzenegger 's plane land>
<only behind closed doors,	practiced	is Voodoo>
<the blast	take place	coffee shop on New York's posh Upper East Side,>
<Russian and British ships	repelled	the attacks>
<Nargis,	the name of	the Cyclone>
<the program	teach	professionalism, respect, teamwork,>
<Google Maps 6.0 for Android	launched	Tuesday with indoor mapping>
<the prosecution	acccuse gibbs of doing	murdering three Afghan civilians,>
<engineers worried about	What are	individual rebuilding>
<13	killing	number of people Hasan accused of killing>
<Imran Khan,	turned	is cricketer politican>
<Camorra's manipulation of garbage disposal	resulted	has in environmental crisis>
<Windsor	robed	first bank>
<Bruce	robed	first bank>
<Australian	expects their troops to be out by	the end of July>
<of the country	expects their troops to be out by	the end of July>
<the	expects their troops to be out by	the end of July>
<of	expects their troops to be out by	the end of July>
<U.S. combat forces plan	expects their troops to be out by	the end of July>
<pull back from population centers in Iraq	expects their troops to be out by	the end of July>
<the protests about	What are	opposing Israel's separation barrier,>
<the Boys and Girls Clubs	do	offering everything from homework help to career exploration,>
<they	call	"gentle giant">
<they	call	"Just an awesome guy,">
<NASA	is   scheduled to launch Space Shuttle Endeavour on	February 7>
<this week	circulate	Illinois legislators>
<Al-Qaeda's second-in-command, Ayman al-Zawahiri	the name of the person who speaks in	the video>
<President Obama	announced	a new Strategy>
None
<the site	causing debate	is>
<age England flyhalf Johnny Wilkinson	ends his international career at what	32-year-old>
<officials	say	5,000>
<Reinhold Messner,	inspired to seek adventure	others>
<the CDC	rely on	landline phones>
<their children	abandoning	parents abandoning>
<Katsav	is facing obstruction of charges	justice>
<55	the number of	people who were affected>
<Ryan Jenkins,	is the murder suspect in	the case>
<guards	was accudes of participating in	revolt>
<16 borders	was accudes of participating in	revolt>
<she	show appear on	"The View">
<How many people	were wounded	130>
<Children with high-risk medical conditions or disabilities	should be among to recieve the vaccine	the first>
<the Gurkhas,	is part of	British armed forces>
<Jolie	a goowill amabassador for what	U.N. High Commissioner>
<Sepp Blatter,	was	was guests>
<Massimo Moratti,	was	was guests>
<Ramon Calderon	was	was guests>
<18-year-old college freshman	will not face	criminal charges>
<Chester Arthur Stiles	is	guilty>
<Rooney	insist	the World Cup>
<Rooney	insist	to lead England's charge>
<Nowak	plea enter	not guilty>
<Reyes Ferriz,	is mayor of	Juarez>
<Jose	is mayor of	Juarez>
<she	tell ABC in 2003	became closer to Jackson in 1996 when>
<Egypt	How  much does need to win by	three-goals>
<Rangers	are	are the Celtic with for the title>
<British soldiers	How were killed	explosion>
<Mary L. Jeffries,	is the CEO of	Polaroid>
<long dif Fritzl	keep his daughter	24 years>
<Amanda Knox,	faces	murder charges>
<Faleh Hassan Almaleki	What age is	48,>
<20,000 people	affected	many were by the power outages>
<Leavenworth, Washington,	is	the mosaic on display>
<What decade	was the method first tried	1970s,>
<the victim	was from	Argentina,>
<How many wolves	were shot	two>
<the ship	much weigh	23,000-ton>
<The cable	links	southern and east Africa to Europe and Asia>
<what	Ground testing of is taking longer than expected	critical replacement computer>
<the spokesman	say	"We have not been awarded either and have no knowledge of the status of those contracts,">
<Floyd Mayweather	Who fight on May	Mosley>
<Floyd Mayweather	Who fight on May	Shane>
<14	sworn	s members in>
<of Afghan President Hamid Karzai's Cabinet	sworn	s members in>
<Afghan President Hamid Karzai's Cabinet	sworn	s members in>
<"Grey's Anatomy" and "Desperate Housewives,"	have	the Emmys snubbed>
<Gilbert Arenas	says that he accepts full responsibility for	his actions>
<Bishop Jim Moriarty	resigned in after being named in abuse cover up	December>
